Frequency_Hz,PSD
89890136.72,3.615850388e-08
89893554.69,3.35569891e-08
89896972.66,3.27887345e-08
89900390.62,3.356111936e-08
89903808.59,3.429319745e-08
89907226.56,3.423925038e-08
89910644.53,3.326464373e-08
89914062.5,3.27342844e-08
89917480.47,3.300920545e-08
89920898.44,3.245285168e-08
89924316.41,3.252239592e-08
89927734.38,3.258385001e-08
89931152.34,3.280020533e-08
89934570.31,3.304208236e-08
89937988.28,3.319552059e-08
89941406.25,3.368122787e-08
89944824.22,3.381718879e-08
89948242.19,3.326612071e-08
89951660.16,3.302521648e-08
89955078.12,3.324043381e-08
89958496.09,3.470881856e-08
89961914.06,3.569623244e-08
89965332.03,3.45304756e-08
89968750,3.27152027e-08
89972167.97,3.390207782e-08
89975585.94,3.425272162e-08
89979003.91,3.441094776e-08
89982421.88,3.500148043e-08
89985839.84,3.740486974e-08
89989257.81,3.966530673e-08
89992675.78,4.602204295e-08
89996093.75,6.031134119e-08
89999511.72,8.47452664e-08
90002929.69,1.179701464e-07
90006347.66,1.665494798e-07
90009765.62,2.305609039e-07
90013183.59,2.879864911e-07
90016601.56,3.236336377e-07
90020019.53,3.340605375e-07
90023437.5,3.191976523e-07
90026855.47,2.717135698e-07
90030273.44,2.109196293e-07
90033691.41,1.504722053e-07
90037109.38,1.01469336e-07
90040527.34,7.105990982e-08
90043945.31,5.265424667e-08
90047363.28,4.381763778e-08
90050781.25,3.861453218e-08
90054199.22,3.7082901e-08
90057617.19,3.61291815e-08
90061035.16,3.473909544e-08
90064453.12,3.476646856e-08
90067871.09,3.519212656e-08
90071289.06,3.699333304e-08
90074707.03,3.756441688e-08
90078125,3.542499544e-08
90081542.97,3.445768452e-08
90084960.94,3.374083217e-08
90088378.91,3.34690391e-08
90091796.88,3.361523293e-08
90095214.84,3.36481435e-08
90098632.81,3.347831082e-08
90102050.78,3.23174174e-08
90105468.75,3.243782316e-08
90108886.72,3.21282685e-08
90112304.69,3.24981895e-08
90115722.66,3.276324262e-08
90119140.62,3.244582983e-08
90122558.59,3.145260271e-08
90125976.56,3.277564945e-08
90129394.53,3.442397121e-08
90132812.5,3.375216396e-08
90136230.47,3.234550675e-08
90139648.44,3.239268191e-08
90143066.41,3.267995097e-08
90146484.38,3.244036148e-08
